region,low_cm-1,high_cm-1,imag_max_cm-1,imag_max,imag_min_cm-1,imag_min,intensity_peak_cm-1,intensity_peak_abs2,imag_area,intensity_area
low-frequency / possible CH background,2800.0,3000.0,2922.06,2.2759629647058826,2994.78,-2.3665451764705883,2926.17,157.84565110174242,10.99269258633272,2589.2284071985955
"H-bonded OH, lower band",3000.0,3300.0,3073.32,0.3915554882352942,3000.6,-2.198581058823529,3002.26,18.013377801346767,-17.50248175396483,206.28875343077846
"H-bonded OH, upper band",3300.0,3550.0,3323.06,0.0058901895882352935,3300.47,-0.051442476470588236,3300.47,0.0037490522069041177,-8.732091090620305,0.5205499291359166
weakly H-bonded / free OH,3580.0,3725.0,3724.67,-0.02012040588235294,3676.12,-0.026966070588235296,3674.3,0.0007350129480691958,-3.372163876411764,0.0827855816836
high-frequency tail,3725.0,3900.0,3860.93,-0.003129972,3899.37,-0.022313194117647057,3899.37,0.0006104664489222779,-2.407581122348529,0.045965540349668974
