x_observed_cm-1,structural_frequency_cm-1,real_measured,imag_measured,real_fit,imag_fit,real_residual,imag_residual
2645.14,3188.142857142857,-0.0173118,-0.0525005,-0.0699599572913501,-0.00043253444725199763,0.0526481572913501,-0.052067965552748
2645.93,3189.4450549450544,-0.0172884,-0.0419936,-0.0689611705894375,-0.0004068037360773491,0.051672770589437506,-0.04158679626392265
2646.72,3190.7472527472523,-0.0129431,-0.0293483,-0.06794606617798127,-0.0003659496549528185,0.05500296617798127,-0.028982350345047182
2647.51,3192.0494505494507,-0.00198812,-0.0158067,-0.06691383796718517,-0.0003082120878312167,0.06492571796718517,-0.015498487912168783
2648.3,3193.3516483516487,0.0184785,-0.00453399,-0.06586365435133487,-0.00023157333786771872,0.08434215435133487,-0.004302416662132281
2649.08,3194.6373626373625,0.0505601,-0.00275159,-0.06480832091290328,-0.00013509612051626485,0.11536842091290328,-0.002616493879483735
2649.87,3195.93956043956,0.0897987,-0.0232339,-0.06371993990968586,-1.3664149430658856e-05,0.15351863990968584,-0.02322023585056934
2650.66,3197.241758241758,0.114865,-0.0756227,-0.06261109620489796,0.00013470844369584123,0.17747609620489796,-0.07575740844369584
2651.45,3198.543956043956,0.0960267,-0.140916,-0.061481020680740225,0.00031359364549507496,0.15750772068074023,-0.1412295936454951
2652.24,3199.8461538461534,0.0373354,-0.177096,-0.060329045861098364,0.0005271392489799853,0.09766444586109836,-0.17762313924898
2653.03,3201.1483516483518,-0.0258149,-0.169019,-0.059154671444812124,0.0007801717581393253,0.03333977144481212,-0.16979917175813933
2653.82,3202.4505494505497,-0.0689017,-0.129412,-0.05795765612937137,0.0010783171217889076,-0.010944043870628625,-0.1304903171217889
2654.61,3203.752747252747,-0.0819057,-0.07327,-0.05673814562735722,0.001428140999192723,-0.02516755437264278,-0.07469814099919272
2655.4,3205.054945054945,-0.0567481,-0.0158162,-0.0554968504230507,0.0018373092321015694,-0.0012512495769493037,-0.01765350923210157
2656.19,3206.3571428571427,0.00996998,0.0157591,-0.05423529169873381,0.0023147670378519114,0.06420527169873382,0.01344433296214809
2656.98,3207.6593406593406,0.0917004,-0.0133641,-0.0529561402672268,0.0028709313327897334,0.1446565402672268,-0.016235031332789734
2657.77,3208.961538461538,0.131361,-0.0972993,-0.05166368147821719,0.0035178832277911187,0.1830246814782172,-0.10081718322779112
2658.55,3210.247252747253,0.10952,-0.182328,-0.05038090112131039,0.004259302640132329,0.1599009011213104,-0.18658730264013232
2659.35,3211.565934065934,0.0549015,-0.236493,-0.04906807923006024,0.005141724821773164,0.10396957923006024,-0.24163472482177317
2660.14,3212.8681318681315,-0.00658216,-0.262324,-0.04778845202246027,0.0061521574054779204,0.041206292022460275,-0.2684761574054779
2660.93,3214.1703296703295,-0.0659243,-0.270673,-0.04654517259936618,0.007320056577721112,-0.019379127400633828,-0.2779930565777211
2661.72,3215.472527472527,-0.123514,-0.269348,-0.04536544235062744,0.008665314326862739,-0.07814855764937256,-0.2780133143268627
2662.51,3216.7747252747254,-0.184496,-0.261941,-0.04428628896077925,0.010206812990935843,-0.14020971103922075,-0.2721478129909358
2663.3,3218.0769230769233,-0.259719,-0.246338,-0.04335697917993369,0.011959465846089923,-0.21636202082006628,-0.2582974658460899
2664.09,3219.379120879121,-0.370921,-0.199093,-0.0426411370511429,0.01392941064830655,-0.3282798629488571,-0.21302241064830654
2664.88,3220.6813186813188,-0.489904,-0.000326525,-0.04221758104849592,0.01610680920155469,-0.4476864189515041,-0.01643333420155469
2665.67,3221.9835164835163,-0.280476,0.210009,-0.04217816405211992,0.018456078224892397,-0.2382978359478801,0.1915529217751076
2666.46,3223.285714285714,-0.155763,0.12382,-0.04262014111066027,0.02090445085503906,-0.11314285888933974,0.10291554914496094
2667.25,3224.587912087912,-0.157523,0.0770668,-0.04363042577994957,0.02333186018586242,-0.11389257422005042,0.053734939814137586
2668.04,3225.8901098901097,-0.177394,0.0747972,-0.04526072258783313,0.025568008516129642,-0.13213327741216685,0.04922919148387035
2668.83,3227.1923076923076,-0.194912,0.097906,-0.04749718761213762,0.02740447283278362,-0.1474148123878624,0.07050152716721639
2669.62,3228.494505494505,-0.204164,0.139809,-0.050235431552163555,0.028627406138414413,-0.15392856844783645,0.11118159386158558
2670.41,3229.796703296703,-0.199095,0.199432,-0.05327670697443516,0.029067012915212465,-0.14581829302556484,0.17036498708478753
2671.21,3231.1153846153848,-0.168712,0.276977,-0.05639455622061045,0.028635748943575956,-0.11231744377938954,0.24834125105642402
2672.0,3232.4175824175823,-0.0922674,0.367618,-0.05923402792655178,0.02738652368090319,-0.03303337207344822,0.3402314763190968
2672.79,3233.71978021978,0.0628373,0.443906,-0.061611492199651854,0.02546583386793788,0.12444879219965185,0.41844016613206214
2673.58,3235.0219780219777,0.310284,0.420304,-0.06339332393750147,0.023079944987904555,0.37367732393750147,0.39722405501209546
2674.37,3236.3241758241757,0.531474,0.188455,-0.06454052393435523,0.02044329157205675,0.5960145239343553,0.16801170842794327
2675.16,3237.626373626373,0.519354,-0.143011,-0.06508836693670172,0.017739745755997266,0.5844423669367017,-0.16075074575599727
2675.96,3238.945054945055,0.327929,-0.340564,-0.0651136229727583,0.015072143849919645,0.3930426229727583,-0.3556361438499196
2676.75,3240.247252747253,0.128412,-0.383277,-0.06471291123079348,0.012593867965375413,0.19312491123079348,-0.3958708679653754
2677.54,3241.5494505494503,-0.0153257,-0.343143,-0.06398411762501402,0.01031596420447553,0.04865841762501402,-0.35345896420447553
2678.33,3242.8516483516482,-0.0978552,-0.269868,-0.06301019243800274,0.008254553485072785,-0.034845007561997265,-0.27812255348507275
2679.13,3244.17032967033,-0.124582,-0.194033,-0.06184364382738409,0.006385168207197228,-0.06273835617261592,-0.20041816820719724
2679.92,3245.4725274725274,-0.106642,-0.141475,-0.06056729128584293,0.004741379407220192,-0.04607470871415707,-0.14621637940722018
2680.71,3246.7747252747254,-0.0663989,-0.132159,-0.05920766549509042,0.003280325823264152,-0.007191234504909577,-0.13543932582326415
2681.5,3248.076923076923,-0.0340625,-0.171668,-0.05779440281090556,0.001982176410291525,0.023731902810905557,-0.1736501764102915
2682.3,3249.3956043956046,-0.0368148,-0.251686,-0.05633053015710005,0.0008136277383782031,0.01951573015710005,-0.2524996277383782
2683.09,3250.6978021978025,-0.0992438,-0.361164,-0.05486803047899977,-0.0002144666882863966,-0.044375769521000225,-0.3609495333117136
2683.88,3252.0,-0.269658,-0.486821,-0.05339936276790249,-0.0011339289490399362,-0.2162586372320975,-0.4856870710509601
