wavenumber_cm-1,real_raw,imag_raw,real_smooth,imag_smooth,real_water_model,imag_water_model,real_residual,imag_residual
2645.14,-0.0173118,-0.0525005,0.010688422352941176,-0.04745360470588235,-0.03004965995992967,0.005305456703489516,0.04073808231287085,-0.052759061409371866
2645.93,-0.0172884,-0.0419936,0.013902963529411765,-0.05478275176470588,-0.030060796285839214,0.00529525431860385,0.04396375981525098,-0.06007800608330973
2646.72,-0.0129431,-0.0293483,0.013402781176470587,-0.06163678117647059,-0.03007195352717789,0.005285039449654084,0.043474734703648474,-0.06692182062612467
2647.51,-0.00198812,-0.0158067,0.010368081176470588,-0.06616098705882353,-0.030083131744726297,0.005274812039174358,0.04045121292119688,-0.0714357990979979
2648.3,0.0184785,-0.00453399,0.00656844,-0.06738272235294118,-0.03009433099948091,0.0052645720293666666,0.03666277099948091,-0.07264729438230785
2649.08,0.0505601,-0.00275159,0.0042486576470588235,-0.06522482235294118,-0.030105409190769802,0.005254449222035004,0.03435406683782863,-0.07047927157497619
2649.87,0.0897987,-0.0232339,0.005853468235294116,-0.06120955176470588,-0.030116650435562737,0.00524418400016509,0.03597011867085685,-0.06645373576487097
2650.66,0.114865,-0.0756227,0.012265950588235293,-0.058907410588235294,-0.03012791290107268,0.005233906004303672,0.04239386348930797,-0.06414131659253897
2651.45,0.0960267,-0.140916,0.021011409411764707,-0.06154263411764706,-0.03013919664916467,0.005223615175305281,0.051150606060929374,-0.06676624929295234
2652.24,0.0373354,-0.177096,0.028472103529411767,-0.06917954588235294,-0.030150501741923463,0.005213311453680645,0.058622605271335226,-0.07439285733603358
2653.03,-0.0258149,-0.169019,0.03271856823529412,-0.08062068705882354,-0.0301618282416544,0.005202994779594305,0.06288039647694851,-0.08582368183841785
2653.82,-0.0689017,-0.129412,0.03309274117647059,-0.09432514,-0.030173176210884105,0.005192665092862216,0.0632659173873547,-0.09951780509286222
2654.61,-0.0819057,-0.07327,0.029331789411764703,-0.10931727529411765,-0.03018454571236133,0.0051823223329493006,0.05951633512412603,-0.11449959762706695
2655.4,-0.0567481,-0.0158162,0.020979289411764704,-0.12489457000000001,-0.03019593680905771,0.005171966438967007,0.05117522622082241,-0.130066536438967
2656.19,0.00996998,0.0157591,0.007152460000000001,-0.14014100588235295,-0.030207349564168543,0.005161597349670851,0.037359809564168546,-0.1453026032320238
2656.98,0.0917004,-0.0133641,-0.013407404705882352,-0.15326477647058823,-0.030218784041113573,0.005151215003457925,0.01681137933523122,-0.15841599147404614
2657.77,0.131361,-0.0972993,-0.041983051764705875,-0.16052773529411762,-0.030230240303537808,0.005140819338364384,-0.011752811461168067,-0.165668554632482
2658.55,0.10952,-0.182328,-0.07644956352941176,-0.15225776617647058,-0.030241572985956495,0.005130542136020984,-0.04620799054345527,-0.15738830831249156
2659.35,0.0549015,-0.236493,-0.0951443517647059,-0.1294868838235294,-0.030253218440534746,0.005119987801860257,-0.06489113332417115,-0.13460687162538967
2660.14,-0.00658216,-0.262324,-0.10278835764705883,-0.11226106029411764,-0.030264740443530707,0.005109551804694485,-0.07252361720352812,-0.11737061209881212
2660.93,-0.0659243,-0.270673,-0.10800137529411764,-0.10011524852941175,-0.030276284488853944,0.005099102237132573,-0.0777250908052637,-0.10521435076654433
2661.72,-0.123514,-0.269348,-0.11361833411764706,-0.09140541323529411,-0.03028785064128745,0.005088639035367704,-0.08333048347635962,-0.09649405227066181
2662.51,-0.184496,-0.261941,-0.12174562235294119,-0.08471587205882353,-0.03029943896584417,0.005078162135216658,-0.09144618338709702,-0.08979403419404018
2663.3,-0.259719,-0.246338,-0.1343417388235294,-0.07741881911764706,-0.030311049527767808,0.005067671472117177,-0.10403068929576159,-0.08248649058976423
2664.09,-0.370921,-0.199093,-0.15144735058823527,-0.06490140147058823,-0.03032268239253361,0.005057166981125255,-0.12112466819570167,-0.06995856845171348
2664.88,-0.489904,-0.000326525,-0.16909870352941175,-0.04288514852941176,-0.03033433762584915,0.005046648596912472,-0.13876436590356261,-0.047931797126324234
2665.67,-0.280476,0.210009,-0.1809685505882353,-0.010535383823529407,-0.030346015293655135,0.005036116253763264,-0.15062253529458017,-0.01557150007729267
2666.46,-0.155763,0.12382,-0.1805017388235294,0.02948808676470588,-0.03035771546212619,0.005025569885572195,-0.15014402336140323,0.024462516879133683
2667.25,-0.157523,0.0770668,-0.16186255294117646,0.069642675,-0.03036943819767162,0.005015009425841181,-0.13149311474350484,0.06462766557415882
2668.04,-0.177394,0.0747972,-0.12672147647058823,0.09665020441176471,-0.030381183566936257,0.005004434807676719,-0.09634029290365198,0.09164576960408799
2668.83,-0.194912,0.097906,-0.0889057117647059,0.10408179264705882,-0.030392951636801217,0.004993845963787076,-0.05851276012790468,0.09908794668327174
2669.62,-0.204164,0.139809,-0.058763064705882356,0.09945691029411764,-0.030404742474384676,0.004983242826479456,-0.02835832223149768,0.09447366746763819
2670.41,-0.199095,0.199432,-0.035931829411764704,0.091401675,-0.030416556147042712,0.004972625327657153,-0.005515273264721992,0.08642904967234286
2671.21,-0.168712,0.276977,-0.015014458823529416,0.0829281455882353,-0.030428542699517357,0.004961858724657764,0.01541408387598794,0.07796628686357754
2672.0,-0.0922674,0.367618,0.008047235294117643,0.06707276470588235,-0.03044040253654983,0.004951212112911692,0.03848763783066747,0.062121552592970655
2672.79,0.0628373,0.443906,0.017217470588235292,0.04330558823529412,-0.030452285413023448,0.0049405509320282716,0.04766975600125874,0.03836503730326585
2673.58,0.310284,0.420304,0.020106941176470588,0.027700000000000002,-0.03046419139725675,0.00492987511226087,0.050571132573727334,0.02277012488773913
2674.37,0.531474,0.188455,0.025467182352941174,0.015392600000000003,-0.030476120557810075,0.004919184583444295,0.05594330291075125,0.010473415416555708
2675.16,0.519354,-0.143011,0.03389844705882353,0.0008946470588235365,-0.03048807296348642,0.004908479274991793,0.06438652002230995,-0.004013832216168256
2675.96,0.327929,-0.340564,0.04319828235294118,-0.019669588235294112,-0.03050020042444619,0.0048976233221876405,0.07369848277738737,-0.024567211557481754
2676.75,0.128412,-0.383277,0.049370058823529406,-0.049138588235294114,-0.030512199824190334,0.004886888051654753,0.07988225864771974,-0.05402547628694887
2677.54,-0.0153257,-0.343143,0.04521929411764706,-0.08950641176470589,-0.030524222677811907,0.004876137786253454,0.07574351679545896,-0.09438254955095934
2678.33,-0.0978552,-0.269868,0.015020764705882352,-0.1366475294117647,-0.03053626905509542,0.004865372453674777,0.04555703376097777,-0.14151290186543947
2679.13,-0.124582,-0.194033,-0.048538211764705894,-0.1499175882352941,-0.030548491962034033,0.0048544554221461,-0.01798971980267186,-0.1547720436574402
2679.92,-0.106642,-0.141475,-0.08279193529411767,-0.1322781764705882,-0.03056058589697753,0.004843659543492833,-0.05223134939714014,-0.13712183601408104
2680.71,-0.0663989,-0.132159,-0.10685884705882355,-0.12402347058823529,-0.030572703567313498,0.004832848377166081,-0.07628614349151006,-0.12885631896540137
2681.5,-0.0340625,-0.171668,-0.1371339823529412,-0.11266847058823529,-0.030584845043820648,0.0048220218490844045,-0.10654913730912055,-0.1174904924373197
2682.3,-0.0368148,-0.251686,-0.16514019411764708,-0.08837476470588236,-0.03059716454268718,0.004811042545404693,-0.1345430295749599,-0.09318580725128706
2683.09,-0.0992438,-0.361164,-0.18202919999999997,-0.05650776470588236,-0.030609354148475793,0.004800184872938888,-0.15141984585152418,-0.06130794957882125
2683.88,-0.269658,-0.486821,-0.18799772941176468,-0.024612176470588238,-0.030621567775180342,0.0047893116128044765,-0.15737616163658433,-0.029401488083392713
2684.68,-0.682087,-0.524422,-0.18666473823529411,0.003532352941176462,-0.03063396055715209,0.004778284753898948,-0.15603077767814202,-0.0012459318127224861
2685.47,-1.17277,0.142027,-0.18184631470588236,0.02690223529411763,-0.03064622274764359,0.004767379890515521,-0.15120009195823877,0.02213485540360211
2686.26,-0.519476,0.743776,-0.17690942058823528,0.04635594117647057,-0.030658509176083763,0.004756459209378057,-0.14625091141215152,0.04159948196709252
2687.05,-0.0988535,0.560634,-0.17408249117647057,0.06452370588235293,-0.030670819915022293,0.004745522633175752,-0.14341167126144827,0.05977818324917718
2687.85,0.0167967,0.38149,-0.17303910294117647,0.08478917647058823,-0.030683311334644026,0.004734431341553557,-0.14235579160653244,0.08005474512903467
2688.64,0.0432484,0.269982,-0.1715907164705882,0.10849841176470587,-0.03069567122329359,0.004723462537710726,-0.14089504524729463,0.10377494922699515
2689.44,0.0408159,0.201175,-0.16875820470588235,0.1359311176470588,-0.030708212564893863,0.0047123384494852216,-0.13804999214098848,0.1312187791975736
2690.23,0.026947,0.158948,-0.16291657343529414,0.16868523529411766,-0.03072062190026301,0.004701337099011252,-0.13219595153503114,0.16398389819510642
2691.02,0.00733515,0.135314,-0.1488110499058824,0.20820029411764707,-0.0307330559145951,0.004690319457727037,-0.1180779939912873,0.20350997465992002
2691.82,-0.015942,0.12742,-0.11285727343529414,0.2494819411764706,-0.030745672546873087,0.004679145669103918,-0.08211160088842105,0.2448027955073667
2692.61,-0.0406548,0.13668,-0.0509081557882353,0.25082429411764706,-0.030758156456436918,0.0046680949962917976,-0.020149999331798382,0.24615619912135525
2693.41,-0.0585842,0.167377,-0.030452273435294115,0.21529288235294117,-0.03077082376831738,0.004656887591961737,0.000318550333023266,0.21063599476097944
