wavenumber_cm-1,experiment_smooth,fit_I+VI+VII,baseline_I+VI+VII,residual_I+VI+VII,component_I_I+VI+VII,component_VI_I+VI+VII,component_VII_I+VI+VII,fit_I+VI+VIII,baseline_I+VI+VIII,residual_I+VI+VIII,component_I_I+VI+VIII,component_VI_I+VI+VIII,component_VIII_I+VI+VIII,fit_I+VI+VII+VIII,baseline_I+VI+VII+VIII,residual_I+VI+VII+VIII,component_I_I+VI+VII+VIII,component_VI_I+VI+VII+VIII,component_VII_I+VI+VII+VIII,component_VIII_I+VI+VII+VIII
3300.5,0.22693,0.2308527494293603,0.45504984133107973,-0.0039227494293603005,-0.0,-0.22419709190171944,-0.0,0.21028316266444524,0.15634938684819688,0.01664683733555475,-0.001236119004340269,-0.04392772193863825,0.09909761675922689,0.21312301026500913,0.16311110706724058,0.013806989734990865,-0.0010928753232837703,-0.04364210599964359,-0.006417792304093383,0.1011646768247893
3301.3,0.22563,0.23124623416823475,0.45424524707697217,-0.005616234168234757,-0.0,-0.22299901290873744,-0.0,0.21002160262598285,0.1560976271715585,0.015608397374017147,-0.0012459193661642752,-0.04392772193863825,0.09909761675922689,0.21280625543731874,0.1628477400575675,0.01282374456268126,-0.0011013217393029907,-0.04364210599964359,-0.006462733706091477,0.1011646768247893
3302.2,0.2275147058823529,0.23078196029417697,0.45334007854110175,-0.003267254411824072,-0.0,-0.2225581182469248,-0.0,0.20972056285993912,0.15581439753534052,0.017794143022413778,-0.0012637294959900237,-0.04392772193863825,0.09909761675922689,0.21268863177337727,0.16255145217168546,0.014826074108975629,-0.0011121338893458107,-0.04364210599964359,-0.006559033257342016,0.10145045274802321
3303.1,0.2278088235294117,0.2305097691960335,0.4524349100052309,-0.0027009456666217957,-0.0,-0.22192514080919742,-0.0,0.20942565111057104,0.15553116789912236,0.01838317241884066,-0.0012754116091399626,-0.04392772193863825,0.09909761675922689,0.21231798237885258,0.16225516428580328,0.015490841150559126,-0.0011245401641280257,-0.04360824510659776,-0.006654849384248139,0.10145045274802321
3303.9,0.227805294117647,0.23040423681654842,0.4516303157511234,-0.0025989426989014297,-0.0,-0.22122607893457497,-0.0,0.20936295115545714,0.15527940822248398,0.018442342962189856,-0.0012852119709639712,-0.04392772193863825,0.09929647684257538,0.21207020189811662,0.16199179727613022,0.015735092219530372,-0.001128791029821069,-0.04354336820326431,-0.006699888892951414,0.10145045274802321
3304.8,0.2276335294117647,0.23028551288962743,0.45072514721525253,-0.0026519834778627183,-0.0,-0.22043963432562508,-0.0,0.20915258661032837,0.15499617858626585,0.018480942801436334,-0.0013029644297159772,-0.04391818107595473,0.09937755352973321,0.21179535713711087,0.16169550939024804,0.01583817227465384,-0.0011446881852558738,-0.04354336820326431,-0.0068010070474471135,0.10158891118283013
3305.7,0.2224558823529412,0.23016678896270673,0.4498199786793821,-0.007710906609765533,-0.0,-0.21965318971667538,-0.0,0.20893746916992517,0.15471294895004783,0.013518413183016026,-0.0013084771332419766,-0.04384455617661389,0.09937755352973321,0.21162496329790417,0.161399221504366,0.010830919055037025,-0.0011603865260387326,-0.04344797514973744,-0.006902125201942711,0.10173622867125705
3306.5,0.221775294117647,0.2300612565832216,0.44901538442527456,-0.008285962465574614,-0.0,-0.21895412784205295,-0.0,0.20868597003842293,0.15446118927340946,0.013089324079224057,-0.0013244348123679956,-0.04382833795235174,0.09937755352973321,0.21131018000704085,0.16113585449469292,0.010465114110606133,-0.0011690501951655127,-0.04344463040688503,-0.0069482225568585805,0.10173622867125705
3307.4,0.2187,0.22994253265630063,0.4481102158894037,-0.011242532656300624,-0.0,-0.21816768323310307,-0.0,0.20871500187500255,0.15417795963719133,0.009984998124997452,-0.0013390441976003256,-0.04378140386482793,0.09965749030023947,0.21091033685325186,0.16083956660881074,0.007789663146748144,-0.0011785524131871347,-0.04344463040688503,-0.007042275606743788,0.10173622867125705
3308.3,0.2214970588235294,0.22982380872937994,0.44720504735353284,-0.008326749905850528,-0.0,-0.2173812386241529,-0.0,0.20846926951640807,0.15389473000097317,0.01302778930712134,-0.00135399681873936,-0.04372895396606524,0.09965749030023947,0.21064696587316176,0.1605432787229286,0.010850092950367651,-0.0011936779593377193,-0.043333729348214264,-0.007140338235015252,0.10177143269280042
