label,region,species,hbond_character,nonnegative_weight,rms_contribution,active,rms_fraction
I / L1 Region A free-OH motif,L1 Region A,I,one nearly free OH plus one OH directed back to the H-bond network,0.008475813507520207,0.008475813507520207,True,0.2437813179654393
II / L1 Region B upward motif,L1 Region B,II,Region-B water connecting toward the dilute outer/weakly bonded side,0.0,0.0,False,0.0
III / L1 Region B upward H-bond motif,L1 Region B,III,H-bonded Region-B motif with high-frequency/free-OH-like contribution,0.0,0.0,False,0.0
IV / L1 Region B parallel motif,L1 Region B,IV,"dipole and OH bonds nearly parallel to interface; weak locally, coupling-active",0.0,0.0,False,0.0
V / L1 Region B liquid-oriented motif,L1 Region B,V,bonded OH groups oriented toward the liquid/H-bond network,0.0,0.0,False,0.0
VI / L1 Region B connector motif,L1 Region B,VI,connector from Region B toward L2; mostly H-bonded with weakly bonded shoulder,0.012221918411304267,0.012221918411304267,True,0.35152677388787146
VII / L2 negative bonded motif,L2,VII,"second-layer H-bonded motif, opposite orientation to VIII",0.0,0.0,False,0.0
VIII / L2 positive bonded motif,L2,VIII,"second-layer H-bonded motif, partially cancels VII",0.014070369173818797,0.014070369173818797,True,0.40469190814668926
