wavenumber_cm-1,real_smooth,imag_smooth,real_fit,imag_fit,real_residual,imag_residual
3350.1,-0.03731101176470588,-0.035382911764705885,-0.03773219396375622,-0.03792373286753801,0.0004211821990503378,0.0025408211028321234
3350.97,-0.03675574117647058,-0.0342442705882353,-0.03704867373696087,-0.03366503591306872,0.0002929325604902888,-0.0005792346751665803
3351.84,-0.03630391764705882,-0.0331859294117647,-0.03655824821948298,-0.031239606236983825,0.0002543305724241607,-0.001946323174780877
3352.72,-0.035962747058823526,-0.03221383529411765,-0.03610804210142171,-0.030041247183331288,0.00014529504259818554,-0.0021725881107863623
3353.59,-0.035722770588235295,-0.03133136470588235,-0.03564152123579551,-0.029646628312202813,-8.12493524397842e-05,-0.0016847363936795395
3354.47,-0.03555984117647059,-0.030546382352941177,-0.035137440793383934,-0.029708310311193146,-0.000422400383086656,-0.0008380720417480308
3355.34,-0.03544080588235294,-0.029877070588235292,-0.03463679766206456,-0.029984976302991524,-0.0008040082202883797,0.00010790571475623179
3356.22,-0.03533214705882353,-0.029354529411764703,-0.03418607463712454,-0.03031933844827036,-0.0011460724216989931,0.0009648090365056566
3357.09,-0.03520971176470588,-0.029020888235294116,-0.03386774427767999,-0.03061330233266323,-0.0013419674870258913,0.001592414097369113
3357.97,-0.035066852941176466,-0.028922476470588234,-0.03374724452291276,-0.03084746835422767,-0.0013196084182637083,0.0019249918836394368
3358.84,-0.03491820588235294,-0.029099329411764706,-0.033879427736463276,-0.031046011820987388,-0.0010387781458896655,0.0019466824092226817
3359.72,-0.03479751176470589,-0.029574017647058824,-0.03428210321742577,-0.03128139753503106,-0.000515408547280119,0.0017073798879722324
3360.59,-0.034749652941176476,-0.030343023529411768,-0.03491381629835872,-0.03162624135823087,0.000164163357182244,0.0012832178288190998
3361.47,-0.0348192,-0.03137351176470589,-0.0357144131223927,-0.032150553150244586,0.000895213122392699,0.0007770413855386973
3362.34,-0.03503850588235294,-0.032606317647058826,-0.03657024036046343,-0.03286776084529781,0.0015317344781104886,0.0002614431982389809
3363.22,-0.035418523529411765,-0.033964388235294116,-0.03740639827970761,-0.03378010744492571,0.001987874750295847,-0.0001842807903684046
3364.09,-0.03594434705882353,-0.03536467647058824,-0.038131632009954695,-0.034823401623422234,0.0021872849511311646,-0.0005412748471660053
3364.97,-0.03657632352941176,-0.03673074705882353,-0.03871832592852471,-0.035963627537793086,0.002142002399112955,-0.0007671195210304446
3365.84,-0.037256652941176464,-0.03800364705882353,-0.039136293688114665,-0.037118085682906726,0.0018796407469382007,-0.0008855613759168046
3366.72,-0.037918888235294115,-0.03914905882352941,-0.03939814887047496,-0.03826480627350233,0.0014792606351808416,-0.0008842525500270815
3367.59,-0.0385003,-0.04015900000000001,-0.039512880095772925,-0.03934229547888733,0.0010125800957729233,-0.0008167045211126753
3368.47,-0.038953082352941176,-0.04104791764705883,-0.03950393789914154,-0.04035162665022226,0.0005508555462003656,-0.0006962909968365738
3369.34,-0.039252141176470585,-0.04184411764705883,-0.039393256935850246,-0.041256619790669954,0.00014111575937966053,-0.0005874978563888758
3370.22,-0.03939757647058823,-0.04257848823529412,-0.039199079946055364,-0.04207237206718138,-0.00019849652453286792,-0.0005061161681127399
3371.1,-0.03941118235294118,-0.04327362352941177,-0.03894062147796632,-0.04278763353481597,-0.00047056087497485827,-0.0004859899945958007
3371.97,-0.039327935294117655,-0.04393611176470588,-0.03863719946659153,-0.04339921138970596,-0.0006907358275261219,-0.0005369003749999199
3372.85,-0.03918479411764707,-0.0445540705882353,-0.038294534736048824,-0.04392658531866485,-0.0008902593815982435,-0.0006274852695704533
3373.73,-0.039009888235294124,-0.04510056470588236,-0.03792618981137257,-0.04436882838584926,-0.0010836984239215516,-0.0007317363200331009
3374.6,-0.03881491764705883,-0.04554170588235295,-0.03754481134359695,-0.044729363922910416,-0.0012701063034618806,-0.0008123419594425335
3375.48,-0.0385927,-0.045847235294117654,-0.03714800383921699,-0.045023628135347375,-0.0014446961607830072,-0.0008236071587702787
3376.36,-0.038320376470588224,-0.04600078235294119,-0.03674507331741692,-0.04525405477900867,-0.0015753031531713022,-0.0007467275739325152
3377.23,-0.03796752941176469,-0.04600705882352942,-0.03634448794076386,-0.0454256090337782,-0.0016230414710008342,-0.0005814497897512205
3378.11,-0.037507205882352936,-0.045893911764705884,-0.035939972278372284,-0.045548356258682206,-0.0015672336039806514,-0.0003455555060236787
3378.99,-0.036927029411764706,-0.04570821176470588,-0.03553837861355984,-0.04562569823329712,-0.0013886507982048685,-8.251353140876355e-05
3379.87,-0.0362372294117647,-0.04550614705882353,-0.03514140841061887,-0.04566281952145516,-0.0010958210011458303,0.00015667246263162404
3380.74,-0.03547285882352941,-0.045340111764705884,-0.034754744773459995,-0.045664580903551244,-0.0007181140500694128,0.00032446913884535966
3381.62,-0.03468904705882353,-0.045244564705882354,-0.03437044439152943,-0.04563521669932819,-0.0003186026672941031,0.0003906519934458383
3382.5,-0.03395014117647059,-0.045228576470588235,-0.03399370188893598,-0.04557831613326202,4.356071246539028e-05,0.0003497396626737856
3383.38,-0.033315300000000006,-0.045272994117647056,-0.03362505710370642,-0.04549728334584943,0.0003097571037064123,0.00022428922820237618
3384.25,-0.03282483529411765,-0.04533500588235294,-0.03326897271545812,-0.045396427896209485,0.0004441374213404667,6.142201385654633e-05
3385.13,-0.03249076470588236,-0.04535922352941176,-0.032917604161927835,-0.04527612118723258,0.00042683945604547746,-8.310234217918239e-05
3386.01,-0.03229399411764706,-0.04529191764705882,-0.03257540082448026,-0.045139833784789835,0.000281406706833201,-0.00015208386226898268
3386.89,-0.03218851764705882,-0.04509488235294117,-0.03224266555016548,-0.04498973602487142,5.414790310665635e-05,-0.00010514632806975233
3387.77,-0.032111635294117646,-0.044755847058823524,-0.03191972598753831,-0.04482777948465941,-0.00019190930657933536,7.193242583588416e-05
3388.64,-0.031997882352941175,-0.04429316470588234,-0.03161045671771703,-0.04465774095021714,-0.00038742563522414786,0.0003645762443348008
3389.52,-0.031793894117647055,-0.04375377647058823,-0.03130819890379484,-0.044477329280818524,-0.000485695213852215,0.0007235528102302949
3390.4,-0.031471047058823524,-0.04320444705882352,-0.031017119877598504,-0.044289986464729536,-0.0004539271812250209,0.0010855394059060136
3391.28,-0.031032964705882352,-0.042717682352941176,-0.03073789369524147,-0.04409721691438335,-0.00029507101064088145,0.0013795345614421722
3392.16,-0.03051551764705882,-0.04235515294117647,-0.030471331151591362,-0.04390055425189652,-4.418649546745687e-05,0.0015454013107200487
3393.04,-0.029978411764705875,-0.04215261176470589,-0.0302183884592166,-0.04370164363792963,0.0002399766945107261,0.0015490318732237426
