wavenumber_cm-1,imag_exp_smooth,imag_fit,imag_baseline,residual,component_I / L1 Region A free-OH motif,component_II / L1 Region B upward motif,component_III / L1 Region B upward H-bond motif,component_IV / L1 Region B parallel motif,component_V / L1 Region B liquid-oriented motif,component_VI / L1 Region B connector motif,component_VII / L2 negative bonded motif,component_VIII / L2 positive bonded motif
3350.1,-0.035382911764705885,-0.03297961521046402,-0.04374678192496594,-0.002403296554241867,-0.001737679734543644,-3.681662200481775e-06,-0.0,-0.0,-0.0,-0.0,-0.016273227510652875,0.0
3350.97,-0.0342442705882353,-0.03316553582999304,-0.043688394630266005,-0.0010787347582422585,-0.0017545443437021577,-2.8755102068256837e-06,-0.0,-0.0,-0.0,-0.0,-0.01641206162823575,0.0
3351.84,-0.0331859294117647,-0.03341542333529439,-0.043630007335566025,0.0002294939235296875,-0.0017710743135956422,-1.430221696472129e-06,-0.0,-0.0,-0.0,-0.0,-0.016615836407372655,0.0
3352.72,-0.03221383529411765,-0.033565196738520355,-0.04357094892253622,0.0013513614444027044,-0.0017835931490577926,-7.984826170686951e-07,-0.0,-0.0,-0.0,-0.0,-0.0167223380252417,0.0
3353.59,-0.03133136470588235,-0.033808033239454784,-0.04351256162783624,0.0024766685335724306,-0.0017959697250260675,3.6629878881003787e-07,-0.0,-0.0,-0.0,-0.0,-0.01692293468683242,0.0
3354.47,-0.030546382352941177,-0.034073118908859,-0.04345350321480643,0.0035267365559178247,-0.0018171299876036764,1.8846322593037085e-06,-0.0,-0.0,-0.0,-0.0,-0.017136993738155346,0.0
3355.34,-0.029877070588235292,-0.0342685559291191,-0.043395115920106454,0.004391485340883808,-0.001829506563571951,2.871389810157821e-06,-0.0,-0.0,-0.0,-0.0,-0.01729001289521672,0.0
3356.22,-0.029354529411764703,-0.03442616765658757,-0.04333605750707664,0.005071638244822867,-0.001842025399034102,3.7586003674989715e-06,-0.0,-0.0,-0.0,-0.0,-0.0174046083088062,0.0
3357.09,-0.029020888235294116,-0.03467690598155198,-0.04327767021237667,0.005656017746257864,-0.0018595385472976469,5.336247584845545e-06,-0.0,-0.0,-0.0,-0.0,-0.017608383087943102,0.0
3357.97,-0.028922476470588234,-0.034850841165558887,-0.04321861179934686,0.005928364694970652,-0.0018710552472590014,6.213893796204122e-06,-0.0,-0.0,-0.0,-0.0,-0.017740294529225844,0.0
3358.84,-0.029099329411764706,-0.03502900330698752,-0.043160224504646884,0.005929673895222816,-0.0018834050888121368,7.1327680701277115e-06,-0.0,-0.0,-0.0,-0.0,-0.017875997658593955,0.0
3359.72,-0.029574017647058824,-0.03532578555008178,-0.04310116609161707,0.005751767903022953,-0.001900457649010413,8.72854916353448e-06,-0.0,-0.0,-0.0,-0.0,-0.018125938433609157,0.0
3360.59,-0.030343023529411768,-0.03547925186912296,-0.0430427787969171,0.005136228339711189,-0.0019128342249786854,9.559203231945363e-06,-0.0,-0.0,-0.0,-0.0,-0.018236830785969164,0.0
3361.47,-0.03137351176470589,-0.03568223834898479,-0.042983720383887286,0.004308726584278902,-0.0019253530604408388,1.0800451213910716e-05,-0.0,-0.0,-0.0,-0.0,-0.018397154989376642,0.0
3362.34,-0.032606317647058826,-0.03591137028047867,-0.04292533308918731,0.003305052633419847,-0.0019377296364091153,1.1972062082604062e-05,-0.0,-0.0,-0.0,-0.0,-0.01858405391098963,0.0
3363.22,-0.033964388235294116,-0.03605753442335695,-0.042866274676157494,0.0020931461880628333,-0.001950248471871265,1.2769952629307147e-05,-0.0,-0.0,-0.0,-0.0,-0.018687112419978284,0.0
3364.09,-0.03536467647058824,-0.036280966297005425,-0.04280788738145752,0.0009162898264171854,-0.0019626250478395413,1.4174618916539453e-05,-0.0,-0.0,-0.0,-0.0,-0.0188685443391644,0.0
3364.97,-0.03673074705882353,-0.03648937745314758,-0.04274882896842771,-0.00024136960567595206,-0.0019751438833016943,1.5458193045059915e-05,-0.0,-0.0,-0.0,-0.0,-0.019034335544998754,0.0
3365.84,-0.03800364705882353,-0.036633880639856904,-0.042690441673727736,-0.0013697664189666267,-0.0019875204592699667,1.6247016653732903e-05,-0.0,-0.0,-0.0,-0.0,-0.019136222934567165,0.0
3366.72,-0.03914905882352941,-0.03688224187211212,-0.04263138326069792,-0.00226681695141729,-0.0020000392947321223,1.784230206032246e-05,-0.0,-0.0,-0.0,-0.0,-0.019342275927792644,0.0
3367.59,-0.04015900000000001,-0.03706204245274204,-0.04257299596599795,-0.0030969575472579655,-0.002008613480742839,1.881408401744006e-05,-0.0,-0.0,-0.0,-0.0,-0.019483446059587652,0.0
3368.47,-0.04104791764705883,-0.03722672664034823,-0.04251393755296814,-0.003821191006710606,-0.0020162932790470977,1.963882254560518e-05,-0.0,-0.0,-0.0,-0.0,-0.019609890498443566,0.0
