wavenumber_cm-1,real_smooth,imag_smooth,real_fit,imag_fit,real_residual,imag_residual
3300.47,-0.029754176470588232,-0.05144247647058823,-0.030243765454287513,-0.05337506959527152,0.0004895889836992809,0.0019325931246832878
3301.33,-0.029131194117647058,-0.050269658823529406,-0.029676198051800707,-0.04812609205875748,0.000545003934153649,-0.002143566764771926
3302.2,-0.02836777058823529,-0.04854521176470588,-0.028232260700757558,-0.04620932654452552,-0.0001355098874777326,-0.002335885220180363
3303.07,-0.02741858235294117,-0.04640051176470588,-0.0264858983958719,-0.04538033406263607,-0.0009326839570692712,-0.0010201777020698091
3303.94,-0.02629297058823529,-0.04397898823529412,-0.024849847695893976,-0.044513507673871196,-0.0014431228923413135,0.0005345194385770746
3304.81,-0.025049635294117644,-0.04141618235294118,-0.023563831334879385,-0.04315441249920242,-0.001485803959238259,0.0017382301462612396
3305.68,-0.023786029411764706,-0.03882378235294118,-0.022729063674465737,-0.04119988569316552,-0.0010569657372989684,0.0023761033402243392
3306.54,-0.02262364705882353,-0.036278141176470595,-0.022353473139862638,-0.03874501323481063,-0.00027017391896089205,0.002466872058340036
3307.41,-0.021690258823529415,-0.033814464705882355,-0.02237817409132222,-0.03585981389654048,0.000687915267792806,0.002045349190658123
3308.28,-0.021101217647058825,-0.031428045882352935,-0.022732067373868993,-0.03270871898632085,0.0016308497268101678,0.0012806731039679137
3309.15,-0.02094309411764706,-0.029082802352941174,-0.02333036993455497,-0.029414738116708306,0.0023872758169079106,0.00033193576376713135
3310.02,-0.02126323529411765,-0.02672531470588235,-0.024095352190159403,-0.02607500690863587,0.002832116896041754,-0.0006503077972464799
3310.89,-0.022066923529411767,-0.024300621235294115,-0.024964691424977207,-0.022759674663078475,0.0028977678955654403,-0.0015409465722156408
3311.76,-0.023321576470588235,-0.021765949470588235,-0.02589580357584015,-0.019515639455533598,0.002574227105251913,-0.0022503100150546365
3312.63,-0.024965447058823528,-0.01909985770588235,-0.026867172933379566,-0.01637270360423443,0.0019017258745560386,-0.0027271541016479217
3313.49,-0.02691800588235294,-0.016306204764705883,-0.02786543934138171,-0.013384693219200616,0.0009474334590287709,-0.0029215115455052676
3314.36,-0.029089741176470583,-0.013413837705882349,-0.02892907700669813,-0.01049897959477316,-0.00016066416977245437,-0.002914858111109189
3315.23,-0.03139032941176471,-0.01047338476470588,-0.030074175415676956,-0.007771571268737401,-0.001316153996087751,-0.00270181349596848
3316.1,-0.033734852941176466,-0.007552390647058821,-0.03133387116675902,-0.005231360700515036,-0.0024009817744174433,-0.0023210299465437857
3316.97,-0.036048235294117645,-0.004729767117647058,-0.032739385759020155,-0.002918088796112885,-0.0033088495350974897,-0.0018116783215341731
3317.84,-0.03826826470588235,-0.0020899082941176475,-0.03431218020719999,-0.0008818269120659596,-0.003956084498682358,-0.0012080813820516878
3318.71,-0.040347229411764704,0.00028320347058823477,-0.036057124372693594,0.000820795053854326,-0.00429010503907111,-0.0005375915832660913
3319.58,-0.042252252941176474,0.0023117093529411766,-0.037958121351799275,0.0021331563331224994,-0.0042941315893771995,0.0001785530198186772
3320.45,-0.04396407647058823,0.0039290422941176475,-0.039977354985267985,0.003006742204240837,-0.003986721485320248,0.0009223000898768105
3321.32,-0.04547446470588235,0.005084019352941177,-0.04205855935896979,0.0034089193312708344,-0.003415905346912565,0.0016751000216703423
3322.19,-0.04678247647058824,0.005743080764705882,-0.044133659355767435,0.0033285018342895287,-0.0026488171148208034,0.0024145789304163535
3323.06,-0.04789061176470588,0.005890189588235294,-0.04613121983764874,0.002777829684246838,-0.0017593919270571384,0.0031123599039884564
3323.93,-0.04880205294117647,0.00552465194117647,-0.04798476073377919,0.001791109027134357,-0.0008172922073972771,0.003733542914042113
3324.8,-0.04951986470588235,0.004657881941176471,-0.04963927515074174,0.0004197750653356396,0.00011941044485939273,0.0042381068758408314
3325.68,-0.05004813529411765,0.0033104943529411765,-0.05106981124031907,-0.0012948324534476975,0.0010216759462014224,0.004605326806388874
3326.55,-0.05039418235294117,0.0015108990588235298,-0.05222028472944947,-0.0032461156346059845,0.0018261023765082998,0.004757014693429514
