wavenumber_cm-1,raw_trace,finite,interp_trace,smooth_17,smooth_1,smooth_7,smooth_11,smooth_25,smooth_33
2645.1,3.375,True,3.375,1.328565294117647,3.375,1.5122442857142857,1.3146009090909092,1.107424,1.1268363636363636
2645.9,-0.21429,True,-0.21429,1.1653294117647057,-0.21429,0.5479442857142857,0.871419090909091,0.7924279999999999,1.0154727272727275
2646.7,-3.0,True,-3.0,0.8785647058823526,-3.0,0.13722999999999996,0.42823727272727263,0.7774239999999999,0.9359275757575758
2647.5,0.3,True,0.3,0.7094470588235292,0.3,-0.5591985714285715,0.21232818181818186,0.7024239999999999,0.8488063636363636
2648.3,-3.3751,True,-3.3751,0.040329411764705725,-3.3751,-1.2556271428571428,-0.03994545454545448,0.407424,0.7692606060606062
2649.1,0.5,True,0.5,-0.4229000000000001,0.5,-1.0821571428571428,-0.48312727272727274,0.260424,0.576078787878788
2649.9,-1.5,True,-1.5,-0.444964705882353,-1.5,-0.5678728571428573,-0.7444909090909091,0.15542439999999996,0.4435030303030304
2650.7,-1.5,True,-1.5,-0.5552588235294118,-1.5,-0.8250157142857143,-1.4522827272727272,0.040424399999999985,0.3525942424242425
2651.4,1.0,True,1.0,-0.9890823529411763,1.0,-0.27142999999999995,-1.5886372727272728,-0.06457599999999998,0.3048669696969698
2652.2,0.59999,True,0.59999,-1.2052588235294115,0.59999,-1.4857157142857143,-1.3431918181818183,-0.319576,0.1298669696969698
2653.0,-1.5,True,-1.5,-1.1485352941176468,-1.5,-1.9142728571428569,-0.9000009090909092,-0.494576,0.01623030303030307
2653.8,0.5,True,0.5,-0.9426529411764705,0.5,-1.2714299999999998,-1.3090918181818183,-0.6145756,-0.2527090909090909
2654.6,-8.0,True,-8.0,-0.9161829411764704,-8.0,-1.2000014285714284,-1.2000009090909092,-0.6775756000000001,-0.7186484848484849
2655.4,-4.4999,True,-4.4999,-0.8941182352941176,-4.4999,-1.857142857142857,-0.9954545454545457,-0.9085756,-0.7754666666666667
2656.2,2.9999,True,2.9999,-0.9823535294117648,2.9999,-1.6857142857142857,-1.040909090909091,-0.9150044,-0.8474363636363638
2657.0,1.5,True,1.5,-0.8720588235294118,1.5,-1.6499985714285714,-1.0272727272727273,-1.0150044,-0.9756833333333333
2657.8,-4.0,True,-4.0,-0.6779411764705884,-4.0,-0.43571285714285724,-1.1636363636363638,-1.5070444,-0.9415893939393939
2658.6,-0.3,True,-0.3,-0.8779411764705883,-0.3,0.3142714285714285,-1.3,-1.3120403999999999,-1.0779530303030305
2659.3,0.75001,True,0.75001,-0.9352941176470588,0.75001,-0.5428571428571428,-0.5386354545454546,-1.2920403999999999,-1.0389927272727273
2660.1,0.5,True,0.5,-1.1705882352941177,0.5,-0.8999999999999999,0.03408272727272727,-1.2663264,-0.9935381818181819
2660.9,0.74999,True,0.74999,-1.9059411764705882,0.74999,-0.27499857142857137,-0.4568172727272728,-1.0263224,-1.0662654545454546
