peak_cm-1,real,imag,imag_smooth,intensity_smooth
2670.41,-0.199095,0.199432,0.091401675,0.1502038822669827
2714.88,0.21175,0.547602,0.09867357647058825,12.422906542052825
2750.83,0.372711,-0.24177,-0.5515131764705883,0.5551092216394289
2790.21,-2.82282,4.25162,1.5563132941176472,97.6946354941746
2832.25,2.69931,0.0605705,0.6123570882352941,7.301084314974781
2882.72,-0.72336,0.405886,0.19004158823529413,1.9366370293623065
2926.17,-0.0505494,2.0523,2.042005494117647,157.84565110174242
2994.78,-1.30334,-1.56154,-2.3665451764705883,18.135323138891057
3038.95,-0.146527,-0.077657,-0.045981125294117645,0.2893647638486666
3077.52,-0.20446,0.451992,-0.1436105176470588,4.041217560083638
3134.93,-0.103758,-0.0769843,-0.10104931764705882,0.020616041635584118
3214.22,-0.0855769,-0.0116795,-0.022078020882352944,0.012713767846061144
