label,region,species,hbond_character,nonnegative_weight,rms_contribution,active,rms_fraction
I / L1 Region A free-OH motif,L1 Region A,I,one nearly free OH plus one OH directed back to the H-bond network,0.011422257087345903,0.011422257087345905,True,0.36552184725609677
II / L1 Region B upward motif,L1 Region B,II,Region-B water connecting toward the dilute outer/weakly bonded side,0.0014677847761903398,0.0014677847761903398,True,0.04697034908817075
III / L1 Region B upward H-bond motif,L1 Region B,III,H-bonded Region-B motif with high-frequency/free-OH-like contribution,0.0,0.0,False,0.0
IV / L1 Region B parallel motif,L1 Region B,IV,"dipole and OH bonds nearly parallel to interface; weak locally, coupling-active",0.0,0.0,False,0.0
V / L1 Region B liquid-oriented motif,L1 Region B,V,bonded OH groups oriented toward the liquid/H-bond network,0.0,0.0,False,0.0
VI / L1 Region B connector motif,L1 Region B,VI,connector from Region B toward L2; mostly H-bonded with weakly bonded shoulder,0.0035218055062847184,0.0035218055062847184,True,0.11270074246183877
VII / L2 negative bonded motif,L2,VII,"second-layer H-bonded motif, opposite orientation to VIII",0.0,0.0,False,0.0
VIII / L2 positive bonded motif,L2,VIII,"second-layer H-bonded motif, partially cancels VII",0.01483733013650492,0.014837330136504921,True,0.4748070611938937
