wavenumber_cm-1,imag_exp_smooth,imag_fit,imag_baseline,residual,component_I / L1 Region A free-OH motif,component_II / L1 Region B upward motif,component_III / L1 Region B upward H-bond motif,component_IV / L1 Region B parallel motif,component_V / L1 Region B liquid-oriented motif,component_VI / L1 Region B connector motif,component_VII / L2 negative bonded motif,component_VIII / L2 positive bonded motif
3350.1,-0.035382911764705885,-0.03336837884586212,-0.04347149457921814,-0.0020145329188437644,5.169651404564106e-05,-0.0,-0.0,-0.01299331722529437,0.0,0.0,0.02094615206293274,-0.0
3350.97,-0.0342442705882353,-0.03384057400061655,-0.043415130774401525,-0.00040369658761875427,5.1406800745736295e-05,-0.0,-0.0,-0.0133262353020536,0.0,0.0,0.020755736005307127,-0.0
3351.84,-0.0331859294117647,-0.034090469189800396,-0.04335876696958488,0.0009045397780356942,5.124008271596471e-05,-0.0,-0.0,-0.013517815895180982,0.0,0.0,0.020646159434350077,-0.0
3352.72,-0.03221383529411765,-0.0346075982865046,-0.0433017553049428,0.002393762992386951,5.0925181067293054e-05,-0.0,-0.0,-0.013879678644590623,0.0,0.0,0.02043918816137237,-0.0
3353.59,-0.03133136470588235,-0.03499087195566179,-0.04324539150012615,0.0036595072497794395,5.0671922558561944e-05,-0.0,-0.0,-0.014147671852604493,0.0,0.0,0.020272732265807433,-0.0
3354.47,-0.030546382352941177,-0.035228717083090604,-0.04318837983548408,0.004682334730149427,5.048728414848818e-05,-0.0,-0.0,-0.014315997304873688,0.0,0.0,0.020151377401726067,-0.0
3355.34,-0.029877070588235292,-0.03578006879081199,-0.04313201603066743,0.005902998202576698,5.0021211665849366e-05,-0.0,-0.0,-0.014699158491128596,0.0,0.0,0.019932224259811882,-0.0
3356.22,-0.029354529411764703,-0.036123460695539844,-0.04307500436602535,0.006768931283775141,4.970232027352804e-05,-0.0,-0.0,-0.014950496097476266,0.0,0.0,0.019788469025492198,-0.0
3357.09,-0.029020888235294116,-0.03643802831474894,-0.04301864056120871,0.007417140079454824,4.9483143371473046e-05,-0.0,-0.0,-0.015172217707386963,0.0,0.0,0.019644413500165516,-0.0
3357.97,-0.028922476470588234,-0.0369129708393085,-0.04296162889656663,0.007990494368720267,4.914587471354454e-05,-0.0,-0.0,-0.015523042489232412,0.0,0.0,0.019468613198777508,-0.0
3358.84,-0.029099329411764706,-0.03713437608039457,-0.04290526509174998,0.008035046668629864,4.8967442086353664e-05,-0.0,-0.0,-0.01568355491977428,0.0,0.0,0.019356470127930153,-0.0
3359.72,-0.029574017647058824,-0.03752895663611406,-0.0428482534271079,0.007954938989055235,4.8707977794739626e-05,-0.0,-0.0,-0.01595936114951552,0.0,0.0,0.019185935438911703,-0.0
3360.59,-0.030343023529411768,-0.037910466784456975,-0.04279188962229126,0.007567443255045207,4.8399281928950944e-05,-0.0,-0.0,-0.016240103657336497,0.0,0.0,0.019034047801325202,-0.0
3361.47,-0.03137351176470589,-0.03811478866490952,-0.04273487795764918,0.006741276900203631,4.8230647599986654e-05,-0.0,-0.0,-0.016385440659019278,0.0,0.0,0.018923211729552598,-0.0
3362.34,-0.032606317647058826,-0.038572410418397415,-0.04267851415283253,0.0059660927713385895,4.7914883107411114e-05,-0.0,-0.0,-0.01670570766828138,0.0,0.0,0.01873474405688902,-0.0
3363.22,-0.033964388235294116,-0.03898704788838645,-0.04262150248819045,0.005022659653092336,4.736656835979602e-05,-0.0,-0.0,-0.01699638167164694,0.0,0.0,0.018559309077681354,-0.0
3364.09,-0.03536467647058824,-0.03921262324558615,-0.04256513868337381,0.003847946774997911,4.7146557714811994e-05,-0.0,-0.0,-0.017153412080307028,0.0,0.0,0.018439555446856364,-0.0
3364.97,-0.03673074705882353,-0.03943136178477457,-0.04250812701873173,0.0027006147259510394,4.6928671440991045e-05,-0.0,-0.0,-0.01730690027366971,0.0,0.0,0.018322503159972643,-0.0
3365.84,-0.03800364705882353,-0.039843163567957585,-0.042451763213915084,0.0018395165091340537,4.6595235381447843e-05,-0.0,-0.0,-0.017594271163360802,0.0,0.0,0.018146977009609905,-0.0
3366.72,-0.03914905882352941,-0.04002209438319871,-0.042394751549273,0.0008730355596692982,4.640976322844498e-05,-0.0,-0.0,-0.017710511336815,0.0,0.0,0.018032452012644168,-0.0
3367.59,-0.04015900000000001,-0.04029372164181088,-0.04233838774445636,0.00013472164181087265,4.5985924990581974e-05,-0.0,-0.0,-0.01790478976538352,0.0,0.0,0.017904098327908027,-0.0
3368.47,-0.04104791764705883,-0.04063047787769291,-0.04228137607981428,-0.00041743976936592375,4.560879527237541e-05,-0.0,-0.0,-0.018103837686109302,0.0,0.0,0.017714747315138175,-0.0
3369.34,-0.04184411764705883,-0.04074805724666078,-0.042225012274997635,-0.001096060400398051,4.544207724260375e-05,-0.0,-0.0,-0.018199627982673033,0.0,0.0,0.017641696267833445,-0.0
3370.22,-0.04257848823529412,-0.04104377509897706,-0.042168000610355555,-0.0015347131363170619,4.514936508724264e-05,-0.0,-0.0,-0.018367810057570707,0.0,0.0,0.017462433375238395,-0.0
3371.1,-0.04327362352941177,-0.041286053621115246,-0.04211098894571345,-0.001987569908296523,4.487200078600831e-05,-0.0,-0.0,-0.018527173797100366,0.0,0.0,0.017327776129599258,-0.0
3371.97,-0.04393611176470588,-0.04144015851373541,-0.042054625140896834,-0.0024959532509704688,4.470528275623674e-05,-0.0,-0.0,-0.018622964093664044,0.0,0.0,0.01721819955864222,-0.0
3372.85,-0.0445540705882353,-0.041719077381586575,-0.041997613476254726,-0.002834993206648727,4.414139171184202e-05,-0.0,-0.0,-0.018786737000877744,0.0,0.0,0.01705159766171731,-0.0
3373.73,-0.04510056470588236,-0.04189973707473328,-0.04194060181161262,-0.0032008276311490808,4.390239850097434e-05,-0.0,-0.0,-0.01888362833533295,0.0,0.0,0.016916048468904838,-0.0
3374.6,-0.04554170588235295,-0.04204555430697078,-0.041884238006796,-0.0034961515753821684,4.370349479303707e-05,-0.0,-0.0,-0.018979418631896623,0.0,0.0,0.01681479174400862,-0.0
3375.48,-0.045847235294117654,-0.04227561534713972,-0.04182722634215389,-0.0035716199469779317,4.319739391951525e-05,-0.0,-0.0,-0.019076309966351828,0.0,0.0,0.016630108311836568,-0.0
3376.36,-0.04600078235294119,-0.04239933944989097,-0.04177021467751178,-0.0036014429030502143,4.293279621594038e-05,-0.0,-0.0,-0.01913394516167646,0.0,0.0,0.016512264174781684,-0.0
3377.23,-0.04600705882352942,-0.042541347439341785,-0.04171385087269517,-0.0034657113841876364,4.2695521417636576e-05,-0.0,-0.0,-0.01920211002461225,0.0,0.0,0.016387229630134652,-0.0
3378.11,-0.045893911764705884,-0.042779104314324794,-0.04165683920805306,-0.0031148074503810907,4.2131828259870805e-05,-0.0,-0.0,-0.0192953337408213,0.0,0.0,0.016191240337186608,-0.0
3378.99,-0.04570821176470588,-0.04280114383583702,-0.04159982754341098,-0.002907067928868863,4.1963193930906515e-05,-0.0,-0.0,-0.0192953337408213,0.0,0.0,0.01611734962267154,-0.0
3379.87,-0.04550614705882353,-0.04298411878949617,-0.041542815878768874,-0.0025220282693273616,4.1683715443850614e-05,-0.0,-0.0,-0.019359020882460908,0.0,0.0,0.01594632146180721,-0.0
3380.74,-0.045340111764705884,-0.04313585052783271,-0.041486452073952254,-0.002204261236873173,4.1260770605915154e-05,-0.0,-0.0,-0.019362215313579782,0.0,0.0,0.01574677840649716,-0.0
3381.62,-0.045244564705882354,-0.04323860975999123,-0.041429440409310146,-0.0020059549458911266,4.087718774653912e-05,-0.0,-0.0,-0.0193900773407713,0.0,0.0,0.015620244957057687,-0.0
3382.5,-0.045228576470588235,-0.043358278103107106,-0.04137242874466804,-0.0018702983674811283,4.0610119370200945e-05,-0.0,-0.0,-0.01942909688633826,0.0,0.0,0.015487843400553276,-0.0
3383.38,-0.045272994117647056,-0.04352843487307885,-0.04131541708002593,-0.0017445592445682057,4.010566561185466e-05,-0.0,-0.0,-0.01942909688633826,0.0,0.0,0.01526617125700804,-0.0
3384.25,-0.04533500588235294,-0.04356850843615289,-0.04125905327520932,-0.001766497446200048,3.9907585461505166e-05,-0.0,-0.0,-0.019390211521926652,0.0,0.0,0.015135981716742417,-0.0
3385.13,-0.04535922352941176,-0.043615305703097,-0.04120204161056721,-0.0017439178263147642,3.952540381406725e-05,-0.0,-0.0,-0.019362215313579782,0.0,0.0,0.015009550595767045,-0.0
3386.01,-0.04529191764705882,-0.043758950740438105,-0.041145029945925095,-0.0015329669066207127,3.9097692236454155e-05,-0.0,-0.0,-0.019360201760229918,0.0,0.0,0.014812299889321838,-0.0
3386.89,-0.04509488235294117,-0.04376965858630924,-0.04108801828128302,-0.001325223766631932,3.8760423578525555e-05,-0.0,-0.0,-0.019311756093002327,0.0,0.0,0.014701463817549233,-0.0
3387.77,-0.044755847058823524,-0.04388587699818511,-0.041031006616640914,-0.0008699700606384156,3.820021526249588e-05,-0.0,-0.0,-0.0192953337408213,0.0,0.0,0.014517363434476521,-0.0
3388.64,-0.04429316470588234,-0.043944199931596394,-0.040974642811824294,-0.0003489647742859481,3.7856911062386975e-05,-0.0,-0.0,-0.019215415277492893,0.0,0.0,0.014328036649006622,-0.0
3389.52,-0.04375377647058823,-0.04395490777746752,-0.040917631147182186,0.00020113130687929304,3.75196424044582e-05,-0.0,-0.0,-0.01916696961026527,0.0,0.0,0.014217200577233963,-0.0
3390.4,-0.04320444705882352,-0.0440403315510634,-0.04086061948254008,0.0008358844922398759,3.711549970636239e-05,-0.0,-0.0,-0.019094689022545866,0.0,0.0,0.014007880531284931,-0.0
3391.28,-0.042717682352941176,-0.044129570802821386,-0.04080360781789797,0.0014118884498802095,3.661229728993398e-05,-0.0,-0.0,-0.01907007827581006,0.0,0.0,0.013842513907875725,-0.0
