group,signed_spectral_weight,absolute_weight,absolute_weight_fraction
silanol-site-water,-3.2215924879026123,3.2215924879026123,0.4118192734710748
surface-oriented-hbonded,-2.090322134900087,2.090322134900087,0.26720789365743103
hbonded-water,-1.6066434521443356,1.6066434521443356,0.20537878135539692
siloxane-quasifree-water,-0.9042727040715898,0.9042727040715898,0.1155940515160972
