window_start_cm-1,window_end_cm-1,species,max_shift_cm-1,shift_cm-1,global_sign,r2,sse,aic,bic,p_value,parameter_count,feasible
3200.0,3800.0,I+II+VII+VIII,80,80.0,-1.0,0.984729029290661,0.08950951354539785,-5994.6297809842,-5967.559309006331,1.6483036218612406e-271,6.0,True
3200.0,3800.0,I+VI+VII+VIII,80,-3.0,1.0,0.9956117296052602,0.025721478733412236,-6833.873248301525,-6806.802776323656,0.0,6.0,True
3200.0,3800.0,I+II+VI+VII+VIII,80,,,,,,,,,False
3200.0,3800.0,I+IV+VI+VIII,80,-27.0,1.0,0.9700022926359648,0.1758290448419176,-5540.24220784907,-5513.171735871201,8.405441752124914e-174,6.0,True
3200.0,3800.0,I+V+VI+VII,80,,,,,,,,,False
3300.0,3800.0,I+VIII,80,9.0,1.0,0.9948213887436035,0.021353209362772182,-5656.1989872834665,-5638.908726323757,0.0,4.0,True
3300.0,3800.0,I+II+VIII,80,7.0,1.0,0.9946552724095038,0.022038164592077275,-5636.612461572844,-5614.999635373208,0.0,5.0,True
3300.0,3800.0,I+VI+VIII,80,4.0,1.0,0.9953501498574218,0.019172943996780996,-5714.188963089267,-5692.576136889631,0.0,5.0,True
3300.0,3800.0,I+II+VI+VIII,80,-8.0,1.0,0.9930066855915655,0.028835859520937306,-5484.866336707283,-5458.93094526772,0.0,6.0,True
3300.0,3800.0,I+II+VII+VIII,80,4.0,1.0,0.9948853928323373,0.021089298318065296,-5659.126021265272,-5633.190629825709,0.0,6.0,True
3300.0,3800.0,I+VI+VII+VIII,80,2.0,1.0,0.995433456579096,0.018829441505251326,-5722.258651940624,-5696.323260501061,0.0,6.0,True
3300.0,3800.0,I+II+VI+VII+VIII,80,-2.0,1.0,0.9952786428502438,0.019467792175100813,-5701.688419925744,-5671.430463246253,0.0,7.0,True
3300.0,3800.0,I+IV+VI+VIII,80,-5.0,1.0,0.9940895602219422,0.024370792044109767,-5578.572879116076,-5552.637487676513,0.0,6.0,True
3300.0,3800.0,I+V+VI+VII,80,,,,,,,,,False
3350.0,3700.0,I+VIII,80,1.0,1.0,0.9909248156567436,0.020603618213285282,-3854.5917634556104,-3838.7067160964484,3.8919048393927176e-219,4.0,True
3350.0,3700.0,I+II+VIII,80,56.0,1.0,0.9292476852842171,0.16063075139552688,-3047.5642721049835,-3027.7079629060313,5.5061074114311247e-45,5.0,True
3350.0,3700.0,I+VI+VIII,80,-7.0,1.0,0.9976027390960062,0.005442561446173365,-4374.428787341137,-4354.572478142184,0.0,5.0,True
3350.0,3700.0,I+II+VI+VIII,80,-8.0,1.0,0.9976190152517118,0.005405609282398511,-4375.099339747845,-4351.271768709103,0.0,6.0,True
3350.0,3700.0,I+II+VII+VIII,80,,,,,,,,,False
3350.0,3700.0,I+VI+VII+VIII,80,-9.0,1.0,0.9975790879936763,0.005496257135902292,-4368.580313343916,-4344.752742305173,0.0,6.0,True
3350.0,3700.0,I+II+VI+VII+VIII,80,-9.0,1.0,0.9976113956264372,0.005422908308418181,-4371.846864713893,-4344.04803183536,0.0,7.0,True
3350.0,3700.0,I+IV+VI+VIII,80,-10.0,1.0,0.9977313494994117,0.005150574027538634,-4394.0443078709395,-4370.216736832197,0.0,6.0,True
3350.0,3700.0,I+V+VI+VII,80,,,,,,,,,False
3400.0,3800.0,I+VIII,80,10.0,1.0,0.9955818030569423,0.013848263361118662,-4587.312189511702,-4570.937910431521,8.860504808151509e-267,4.0,True
3400.0,3800.0,I+II+VIII,80,9.0,1.0,0.9955517598234553,0.01394242996684249,-4582.310035841299,-4561.8421869910735,2.556753184406411e-264,5.0,True
3400.0,3800.0,I+VI+VIII,80,2.0,1.0,0.9966773374770062,0.010414453287519762,-4711.551797540664,-4691.083948690438,4.608111793458484e-292,5.0,True
3400.0,3800.0,I+II+VI+VIII,80,0.0,1.0,0.996716617655405,0.010291334680008946,-4714.820100878631,-4690.25868225836,2.0464062245960483e-291,6.0,True
3400.0,3800.0,I+II+VII+VIII,80,7.0,1.0,0.995489837812344,0.014136516452522358,-4574.185754592499,-4549.6243359722275,2.678886115910211e-261,6.0,True
3400.0,3800.0,I+VI+VII+VIII,80,-2.0,1.0,0.9962353232922685,0.011799889228580773,-4654.223062918599,-4629.661644298328,1.941846255232724e-278,6.0,True
3400.0,3800.0,I+II+VI+VII+VIII,80,,,,,,,,,False
3400.0,3800.0,I+IV+VI+VIII,80,-5.0,1.0,0.9969375952973023,0.009598709018148967,-4745.685521534523,-4721.124102914252,5.021289487486243e-298,6.0,True
3400.0,3800.0,I+V+VI+VII,80,80.0,-1.0,0.9979317615685342,0.006482624215638158,-4919.564444548127,-4895.003025927856,0.0,6.0,True
