sio2_wat_a_fre.d.real,sio2_wat_a_fre.d.imag
0.049159,-0.098928
0.0963517,-0.17249
0.130636,-0.274043
0.128062,-0.404456
0.0645769,-0.533491
-0.0365118,-0.612146
-0.114883,-0.642229
-0.145973,-0.667005
-0.138779,-0.713084
-0.105677,-0.783048
-0.0605843,-0.866775
-0.0309121,-0.953843
-0.0599961,-1.04214
-0.20018,-1.12354
-0.49061,-1.13676
-0.868629,-0.949623
-1.11009,-0.541529
-1.10175,-0.126559
-0.967785,0.149741
-0.828178,0.308225
-0.72336,0.405886
-0.658475,0.484229
-0.631686,0.57409
-0.643066,0.713367
-0.689114,0.985571
-0.656462,1.66553
1.09196,2.88071
2.08166,0.243332
1.11223,-0.259823
0.726019,-0.259672
0.552694,-0.229851
0.466673,-0.211369
0.426421,-0.208213
0.418386,-0.22222
0.444643,-0.258357
0.530764,-0.325653
0.77461,-0.411218
1.35708,-0.148836
1.12896,0.724095
0.644876,0.73339
0.5033,0.633317
0.472228,0.589234
0.478496,0.589572
0.497904,0.622959
0.516358,0.68117
0.520864,0.752385
0.500692,0.815506
0.453352,0.842062
0.385184,0.811129
0.302834,0.726116
0.207397,0.614763
0.100749,0.511103
-0.011648,0.436601
-0.127671,0.396887
-0.256064,0.388877
-0.425081,0.404378
-0.709754,0.408603
-1.25874,0.141485
-1.14191,-1.07243
-0.100717,-0.983415
0.119987,-0.583435
0.148069,-0.366475
0.149856,-0.238163
0.154192,-0.149805
0.167726,-0.079599
0.19335,-0.0155695
0.233934,0.0515629
0.293088,0.132551
0.374201,0.244338
0.474716,0.416554
0.567195,0.695811
0.563674,1.11771
0.345082,1.61281
-0.0505494,2.0523
-0.477336,2.59449
-1.02657,4.22129
43.6734,26.985
1.21053,-2.83272
0.428286,-1.2043
0.20504,-0.676388
0.109067,-0.418391
0.0620469,-0.262955
0.0380361,-0.154299
0.0244215,-0.067921
0.0110947,0.00921717
-0.0156638,0.0826084
-0.0760808,0.141551
-0.172903,0.140334
-0.234323,0.046907
-0.204226,-0.0636048
-0.129979,-0.134154
-0.0521028,-0.176227
0.0211473,-0.208705
0.0922731,-0.24162
0.165594,-0.278876
0.245141,-0.320088
0.333127,-0.360216
0.425468,-0.388748
0.504118,-0.394581
0.536588,-0.382529
0.499276,-0.383563
0.398371,-0.431162
0.252441,-0.537789
0.0710663,-0.707708
-0.140824,-0.96929
-0.33358,-1.42458
-0.130319,-2.24127
1.20336,-2.36617
1.51468,-1.18687
1.10312,-0.625666
0.769882,-0.410246
0.54437,-0.297493
0.389648,-0.217582
0.280953,-0.149028
0.203381,-0.0839181
0.147205,-0.0180948
0.105041,0.0521521
0.0693133,0.131783
0.0280312,0.22831
-0.0467043,0.350784
-0.230818,0.482358
-0.606731,0.402007
-0.65477,-0.0872447
-0.321059,-0.263966
-0.0865924,-0.212352
0.0562424,-0.117147
0.148348,-0.01435
0.20338,0.0850975
0.230378,0.168315
0.244206,0.226019
0.260299,0.258473
0.28808,0.271417
0.331359,0.269969
0.391703,0.256084
0.470839,0.228139
0.571796,0.180315
0.69917,0.0999967
0.857135,-0.0386792
1.0384,-0.288788
1.17548,-0.748956
0.996655,-1.486
0.105952,-2.04981
-0.905948,-1.72108
-1.30946,-1.0505
-1.37881,-0.550907
-1.40389,-0.231627
-1.51608,-0.05227
-1.75572,-0.105894
-1.83196,-0.524442
-1.50045,-0.830125
-1.20788,-0.840123
-1.07061,-0.7896
-1.03007,-0.768687
-1.0502,-0.800395
-1.11629,-0.90627
-1.21598,-1.13064
-1.30334,-1.56154
-1.19736,-2.32279
-0.4461,-3.31857
1.09421,-3.80305
2.59689,-3.62969
4.08881,-4.10366
4.83202,-10.6467
-6.39835,-3.43898
-2.85083,-0.816006
-1.70184,-0.492062
-1.21218,-0.393732
-0.967862,-0.349955
-0.842373,-0.329656
-0.790615,-0.32549
-0.802832,-0.338136
-0.905403,-0.375221
-1.24329,-0.452814
-3.15408,-0.0131103
0.877004,1.42649
0.287566,0.377278
0.0704829,0.171717
-0.0390831,0.0885544
-0.110435,0.042766
-0.166957,0.0116312
-0.21968,-0.0138245
-0.276066,-0.038138
-0.343758,-0.063744
-0.434013,-0.0901382
-0.566663,-0.106971
-0.769916,-0.064176
-0.979847,0.194867
-0.795846,0.579883
-0.445404,0.552161
-0.29955,0.374584
-0.253209,0.224654
-0.235968,0.109269
-0.226283,0.0176837
-0.219004,-0.0577548
-0.214357,-0.122111
-0.214407,-0.17921
-0.222153,-0.232287
-0.242038,-0.284419
-0.282183,-0.338962
-0.362454,-0.399239
-0.548124,-0.451693
-0.987445,-0.20042
-0.510089,0.446946
-0.198164,0.198296
-0.171342,0.0652287
-0.176437,0.00963427
-0.179066,-0.015315
-0.173869,-0.0305286
-0.161683,-0.0481945
-0.146527,-0.077657
-0.136456,-0.127509
-0.147399,-0.205367
-0.210613,-0.310539
-0.373587,-0.405897
-0.638682,-0.377464
-0.843048,-0.145862
-0.844032,0.133137
-0.727171,0.309832
-0.596271,0.387242
-0.485882,0.405137
-0.398631,0.389434
-0.329297,0.353398
-0.271845,0.304258
-0.221203,0.247088
-0.173999,0.186393
-0.128817,0.126096
-0.0858571,0.0689561
-0.0460854,0.0161416
-0.0103621,-0.032698
0.0210788,-0.0791274
0.0488296,-0.125882
0.0745724,-0.177695
0.102417,-0.244827
0.147466,-0.359188
0.365397,-0.70518
0.480513,0.74282
0.136064,0.120183
0.138254,-0.0255591
0.15838,-0.0983069
0.187337,-0.147014
0.226261,-0.182932
0.277158,-0.207282
0.340103,-0.216155
0.410077,-0.203565
0.475074,-0.167073
0.520552,-0.114575
0.538975,-0.0634889
0.53293,-0.030759
0.507621,-0.0248587
0.462249,-0.0446725
0.388138,-0.078766
0.276438,-0.102036
0.133527,-0.0795121
-0.0127485,0.0155245
-0.130898,0.190068
-0.20446,0.451992
-0.223014,0.8595
-0.115716,1.66958
1.38644,4.59524
2.61121,-5.21518
0.12251,-2.04272
-0.113708,-1.20713
-0.174808,-0.817405
-0.191424,-0.580244
-0.189766,-0.412618
-0.1782,-0.282144
-0.160459,-0.173748
-0.138852,-0.079627
-0.115284,0.00438154
-0.0914865,0.0804047
-0.0688978,0.149388
-0.0483346,0.211731
-0.0296131,0.268004
-0.0112335,0.319792
0.0100091,0.37077
0.0402844,0.428615
0.0937116,0.510277
0.21642,0.662881
0.710367,1.09204
1.17237,-3.67558
-0.458617,-0.624049
-0.360257,-0.235648
-0.319246,-0.0917951
-0.304197,-0.00888394
-0.301389,0.0572918
-0.300994,0.126093
-0.288701,0.208201
-0.241554,0.300676
-0.142082,0.372187
-0.0160956,0.379568
0.0811726,0.326988
0.13059,0.256591
0.147181,0.195305
0.14809,0.148651
0.143146,0.113988
0.136915,0.0874359
0.131249,0.0655546
0.126456,0.0453251
0.121262,0.0239918
0.111925,0.000107006
0.0932848,-0.0227907
0.0665977,-0.035479
0.0424876,-0.034958
0.0274419,-0.0284018
0.0200413,-0.0220738
0.017365,-0.0179563
0.0176626,-0.0161304
0.0201851,-0.0163588
0.0246755,-0.0186021
0.0310143,-0.0231662
0.0389387,-0.0307497
0.0477148,-0.042414
0.0557344,-0.0593375
0.0601805,-0.0821362
0.05725,-0.109752
0.0434979,-0.138453
0.0180737,-0.162195
-0.0158636,-0.174932
-0.0518763,-0.173379
-0.0826616,-0.158511
-0.102788,-0.135284
-0.110836,-0.11064
-0.109568,-0.0903677
-0.103758,-0.0769843
-0.0976175,-0.0699672
-0.0936301,-0.0673276
-0.09276,-0.066908
-0.095056,-0.0668804
-0.100094,-0.0657569
-0.107128,-0.0622258
-0.115001,-0.0550241
-0.121863,-0.0430024
-0.12482,-0.0255561
-0.119867,-0.00367755
-0.102968,0.0185505
-0.0730388,0.0334767
-0.0352672,0.0329496
-0.000106822,0.0141198
0.022837,-0.0182566
0.0295196,-0.0556515
0.0209191,-0.0904714
0.000333577,-0.117632
-0.0282767,-0.134027
-0.0606262,-0.137866
-0.091991,-0.128662
-0.117455,-0.107695
-0.132796,-0.0783562
-0.135676,-0.045719
-0.126364,-0.0152939
-0.107452,0.0083906
-0.0828644,0.0226023
-0.0568314,0.0264262
-0.0333182,0.0203839
-0.0158639,0.0061543
-0.0074387,-0.0133674
-0.00984376,-0.033885
-0.0225491,-0.0501272
-0.0418666,-0.0575767
-0.06197,-0.0547973
-0.0777016,-0.0441264
-0.0867676,-0.029877
-0.0896774,-0.0159255
-0.0883521,-0.00456776
-0.084927,0.00337205
-0.0812248,0.00801994
-0.0786985,0.0100617
-0.0785093,0.0106347
-0.0814652,0.0114879
-0.0874947,0.0152219
-0.0943795,0.0248777
-0.0968095,0.0414609
-0.0893338,0.0604423
-0.0725109,0.0739274
-0.0524894,0.0779977
-0.0346298,0.0741785
-0.0210231,0.0655384
-0.0118582,0.0543101
-0.0068561,0.0417239
-0.00590984,0.028466
-0.0092542,0.0151535
-0.0173881,0.00278603
-0.0306712,-0.00680319
-0.0483555,-0.0107872
-0.067257,-0.00634601
-0.0817996,0.00665908
-0.0873379,0.0238661
-0.0838266,0.039056
-0.0749248,0.0485035
-0.0645252,0.0518743
-0.0549983,0.0505174
-0.0473455,0.0459904
-0.0418324,0.0395287
-0.0384399,0.0320238
-0.0370708,0.0241599
-0.037587,0.0165588
-0.03971,0.00987376
-0.0428171,0.00472059
-0.0458259,0.00130464
-0.0476047,-0.0010935
-0.0479127,-0.00396354
-0.0477266,-0.0084712
-0.0484063,-0.0147225
-0.0508788,-0.0220863
-0.055539,-0.0297566
-0.0624701,-0.0369801
-0.0715916,-0.0430247
-0.0826501,-0.0470842
-0.0950762,-0.0482434
-0.107758,-0.0456025
-0.118871,-0.0386731
-0.126081,-0.028027
-0.127404,-0.0157776
-0.122453,-0.00515468
-0.112965,0.000952716
-0.101935,0.00133346
-0.0921872,-0.0034156
-0.0855769,-0.0116795
-0.0829993,-0.0215982
-0.0847192,-0.0313878
-0.0905859,-0.0393029
-0.0999631,-0.043494
-0.111356,-0.0420443
-0.121938,-0.0335346
-0.127651,-0.0183026
